Date;Y;mon;usrec;10 YR
1829-12-01;1829;12;;4.934253
1830-1-01;1830;1;;4.710101
1830-2-01;1830;2;;4.769031
1830-3-01;1830;3;;4.778946
1830-4-01;1830;4;;4.688773
1830-5-01;1830;5;;4.682724
1830-6-01;1830;6;;4.762016
1830-7-01;1830;7;;4.422812
1830-8-01;1830;8;;4.407594
1830-9-01;1830;9;;4.333
1830-10-01;1830;10;;4.252376
1830-11-01;1830;11;;4.253344
1830-12-01;1830;12;;4.279688
1831-1-01;1831;1;;4.390073
1831-2-01;1831;2;;4.255049
1831-3-01;1831;3;;4.272062
1831-4-01;1831;4;;4.290186
1831-5-01;1831;5;;4.30581
1831-6-01;1831;6;;4.43552
1831-7-01;1831;7;;4.374042
1831-8-01;1831;8;;4.376869
1831-9-01;1831;9;;4.344284
1831-10-01;1831;10;;4.449087
1831-11-01;1831;11;;4.240416
1831-12-01;1831;12;;4.458108
1832-1-01;1832;1;;4.318543
1832-2-01;1832;2;;4.559862
1832-3-01;1832;3;;4.529539
1832-4-01;1832;4;;4.248842
1832-5-01;1832;5;;4.157955
1832-6-01;1832;6;;4.21637
1832-7-01;1832;7;;4.165253
1832-8-01;1832;8;;4.136389
1832-9-01;1832;9;;4.149052
1832-10-01;1832;10;;4.168976
1832-11-01;1832;11;;4.309974
1832-12-01;1832;12;;4.36353
1833-1-01;1833;1;;4.934487
1833-2-01;1833;2;;4.758312
1833-3-01;1833;3;;4.821832
1833-4-01;1833;4;;4.882033
1833-5-01;1833;5;;4.98095
1833-6-01;1833;6;;4.930823
1833-7-01;1833;7;;4.966366
1833-8-01;1833;8;;4.926929
1833-9-01;1833;9;;4.859616
1833-10-01;1833;10;;4.849847
1833-11-01;1833;11;;5.061419
1833-12-01;1833;12;;5.0352
1834-1-01;1834;1;;5.326413
1834-2-01;1834;2;;5.309912
1834-3-01;1834;3;;5.10733
1834-4-01;1834;4;;5.299127
1834-5-01;1834;5;;5.223205
1834-6-01;1834;6;;5.223175
1834-7-01;1834;7;;5.196154
1834-8-01;1834;8;;5.186419
1834-9-01;1834;9;;5.195748
1834-10-01;1834;10;;5.226703
1834-11-01;1834;11;;5.219602
1834-12-01;1834;12;;5.372485
1835-1-01;1835;1;;6.039707
1835-2-01;1835;2;;5.90599
1835-3-01;1835;3;;6.168918
1835-4-01;1835;4;;5.993047
1835-5-01;1835;5;;6.049229
1835-6-01;1835;6;;6.021505
1835-7-01;1835;7;;6.150263
1835-8-01;1835;8;;6.06131
1835-9-01;1835;9;;5.866661
1835-10-01;1835;10;;6.123583
1835-11-01;1835;11;;6.120549
1835-12-01;1835;12;;5.8579
1836-1-01;1836;1;;6.112759
1836-2-01;1836;2;;5.818299
1836-3-01;1836;3;;5.559004
1836-4-01;1836;4;;5.541158
1836-5-01;1836;5;;5.555644
1836-6-01;1836;6;;5.556723
1836-7-01;1836;7;;5.437169
1836-8-01;1836;8;;5.33648
1836-9-01;1836;9;;5.407962
1836-10-01;1836;10;;5.483884
1836-11-01;1836;11;;5.782126
1836-12-01;1836;12;;5.67699
1837-1-01;1837;1;;6.433596
1837-2-01;1837;2;;6.351059
1837-3-01;1837;3;;6.534609
1837-4-01;1837;4;;6.611586
1837-5-01;1837;5;;6.643757
1837-6-01;1837;6;;6.88172
1837-7-01;1837;7;;7.291158
1837-8-01;1837;8;;7.052831
1837-9-01;1837;9;;6.830991
1837-10-01;1837;10;;6.805514
1837-11-01;1837;11;;6.423035
1837-12-01;1837;12;;6.375114
1838-1-01;1838;1;;6.394189
1838-2-01;1838;2;;6.129478
1838-3-01;1838;3;;6.171897
1838-4-01;1838;4;;6.311022
1838-5-01;1838;5;;6.4
1838-6-01;1838;6;;6.300311
1838-7-01;1838;7;;6.378095
1838-8-01;1838;8;;6.346579
1838-9-01;1838;9;;6.389438
1838-10-01;1838;10;;6.389438
1838-11-01;1838;11;;6.311039
1838-12-01;1838;12;;6.183093
1839-1-01;1839;1;;6.323893
1839-2-01;1839;2;;6.464694
1839-3-01;1839;3;;6.4
1839-4-01;1839;4;;6.44278
1839-5-01;1839;5;;6.44278
1839-6-01;1839;6;;6.687071
1839-7-01;1839;7;;6.931362
1839-8-01;1839;8;;7.175653
1839-9-01;1839;9;;7.419944
1839-10-01;1839;10;;7.664235
1839-11-01;1839;11;;7.908526
1839-12-01;1839;12;;8.152817
1840-1-01;1840;1;;8.397108
1840-2-01;1840;2;;8.078261
1840-3-01;1840;3;;7.116053
1840-4-01;1840;4;;6.153846
1840-5-01;1840;5;;6.185567
1840-6-01;1840;6;;6.185567
1840-7-01;1840;7;;6.122874
1840-8-01;1840;8;;6.066759
1840-9-01;1840;9;;6.060683
1840-10-01;1840;10;;6.045378
1840-11-01;1840;11;;6.451594
1840-12-01;1840;12;;6.85781
1841-1-01;1841;1;;7.264026
1841-2-01;1841;2;;7.670242
1841-3-01;1841;3;;8.076457
1841-4-01;1841;4;;8.482673
1841-5-01;1841;5;;8.888889
1841-6-01;1841;6;;8.737636
1841-7-01;1841;7;;8.586382
1841-8-01;1841;8;;8.435129
1841-9-01;1841;9;;8.283876
1841-10-01;1841;10;;8.132622
1841-11-01;1841;11;;7.981369
1841-12-01;1841;12;;7.830115
1842-1-01;1842;1;;7.678862
1842-2-01;1842;2;;7.527609
1842-3-01;1842;3;;7.376355
1842-4-01;1842;4;;7.225102
1842-5-01;1842;5;;7.073849
1842-6-01;1842;6;;6.922595
1842-7-01;1842;7;;6.771342
1842-8-01;1842;8;;6.620089
1842-9-01;1842;9;;6.468835
1842-10-01;1842;10;;6.317582
1842-11-01;1842;11;;6.166329
1842-12-01;1842;12;;6.015075
1843-1-01;1843;1;;5.870211
1843-2-01;1843;2;;5.829619
1843-3-01;1843;3;;5.726706
1843-4-01;1843;4;;5.563762
1843-5-01;1843;5;;5.479846
1843-6-01;1843;6;;5.299709
1843-7-01;1843;7;;5.119753
1843-8-01;1843;8;;5.765704
1843-9-01;1843;9;;5.368903
1843-10-01;1843;10;;5.233238
1843-11-01;1843;11;;5.161387
1843-12-01;1843;12;;5.129804
1844-1-01;1844;1;;5.190377
1844-2-01;1844;2;;5.200185
1844-3-01;1844;3;;5.195393
1844-4-01;1844;4;;5.296614
1844-5-01;1844;5;;5.286058
1844-6-01;1844;6;;5.218437
1844-7-01;1844;7;;5.250551
1844-8-01;1844;8;;5.164265
1844-9-01;1844;9;;5.127966
1844-10-01;1844;10;;5.148086
1844-11-01;1844;11;;5.113635
1844-12-01;1844;12;;5.207394
1845-1-01;1845;1;;5.165086
1845-2-01;1845;2;;5.184487
1845-3-01;1845;3;;5.207269
1845-4-01;1845;4;;5.204417
1845-5-01;1845;5;;5.061979
1845-6-01;1845;6;;5.09785
1845-7-01;1845;7;;5.054266
1845-8-01;1845;8;;5.066327
1845-9-01;1845;9;;5.167346
1845-10-01;1845;10;;5.123143
1845-11-01;1845;11;;5.192826
1845-12-01;1845;12;;5.256388
1846-1-01;1846;1;;5.264749
1846-2-01;1846;2;;5.327633
1846-3-01;1846;3;;5.328776
1846-4-01;1846;4;;5.299883
1846-5-01;1846;5;;5.361001
1846-6-01;1846;6;;5.389925
1846-7-01;1846;7;;5.421175
1846-8-01;1846;8;;5.446195
1846-9-01;1846;9;;5.426383
1846-10-01;1846;10;;5.432125
1846-11-01;1846;11;;5.598308
1846-12-01;1846;12;;5.747436
1847-1-01;1847;1;;5.862386
1847-2-01;1847;2;;5.738637
1847-3-01;1847;3;;5.686725
1847-4-01;1847;4;;5.579882
1847-5-01;1847;5;;5.486275
1847-6-01;1847;6;;5.51672
1847-7-01;1847;7;;5.530422
1847-8-01;1847;8;;5.586073
1847-9-01;1847;9;;5.672814
1847-10-01;1847;10;;5.695829
1847-11-01;1847;11;;5.765746
1847-12-01;1847;12;;5.823747
1848-1-01;1848;1;;5.893732
1848-2-01;1848;2;;5.903279
1848-3-01;1848;3;;5.756932
1848-4-01;1848;4;;5.716981
1848-5-01;1848;5;;5.698164
1848-6-01;1848;6;;5.718726
1848-7-01;1848;7;;5.663744
1848-8-01;1848;8;;5.704418
1848-9-01;1848;9;;5.727766
1848-10-01;1848;10;;5.710648
1848-11-01;1848;11;;5.666735
1848-12-01;1848;12;;5.588125
1849-1-01;1849;1;;5.528693
1849-2-01;1849;2;;5.446156
1849-3-01;1849;3;;5.384307
1849-4-01;1849;4;;5.402647
1849-5-01;1849;5;;5.357341
1849-6-01;1849;6;;5.237497
1849-7-01;1849;7;;5.184772
1849-8-01;1849;8;;5.241272
1849-9-01;1849;9;;5.296364
1849-10-01;1849;10;;5.315607
1849-11-01;1849;11;;5.281735
1849-12-01;1849;12;;5.328002
1850-1-01;1850;1;;5.351969
1850-2-01;1850;2;;5.312587
1850-3-01;1850;3;;5.272397
1850-4-01;1850;4;;5.184469
1850-5-01;1850;5;;5.15696
1850-6-01;1850;6;;5.222662
1850-7-01;1850;7;;5.240747
1850-8-01;1850;8;;5.252782
1850-9-01;1850;9;;5.216965
1850-10-01;1850;10;;5.204761
1850-11-01;1850;11;;5.183377
1850-12-01;1850;12;;5.319493
1851-1-01;1851;1;;5.293887
1851-2-01;1851;2;;5.275719
1851-3-01;1851;3;;5.253681
1851-4-01;1851;4;;5.234061
1851-5-01;1851;5;;5.208621
1851-6-01;1851;6;;5.238949
1851-7-01;1851;7;;5.263045
1851-8-01;1851;8;;5.31353
1851-9-01;1851;9;;5.268779
1851-10-01;1851;10;;5.278481
1851-11-01;1851;11;;5.246417
1851-12-01;1851;12;;5.256158
1852-1-01;1852;1;;5.248805
1852-2-01;1852;2;;5.247514
1852-3-01;1852;3;;5.239201
1852-4-01;1852;4;;5.178874
1852-5-01;1852;5;;5.168186
1852-6-01;1852;6;;5.235864
1852-7-01;1852;7;;5.181861
1852-8-01;1852;8;;5.149347
1852-9-01;1852;9;;5.125368
1852-10-01;1852;10;;5.121199
1852-11-01;1852;11;;5.127822
1852-12-01;1852;12;;5.137249
1853-1-01;1853;1;;5.11165
1853-2-01;1853;2;;5.157365
1853-3-01;1853;3;;5.18593
1853-4-01;1853;4;;5.110196
1853-5-01;1853;5;;5.143106
1853-6-01;1853;6;;5.177403
1853-7-01;1853;7;;5.086177
1853-8-01;1853;8;;5.027951
1853-9-01;1853;9;;5.015249
1853-10-01;1853;10;;5.049668
1853-11-01;1853;11;;4.988124
1853-12-01;1853;12;;5.086769
1854-1-01;1854;1;;5.127884
1854-2-01;1854;2;;5.132297
1854-3-01;1854;3;;5.056963
1854-4-01;1854;4;;5.119129
1854-5-01;1854;5;;5.083986
1854-6-01;1854;6;;5.074919
1854-7-01;1854;7;;5.110986
1854-8-01;1854;8;;5.254636
1854-9-01;1854;9;;5.234696
1854-10-01;1854;10;;5.217949
1854-11-01;1854;11;;5.209527
1854-12-01;1854;12;15.32;5.292213
1855-1-01;1855;1;0.62;5.285633
1855-2-01;1855;2;0.62;5.274498
1855-3-01;1855;3;0.62;5.251889
1855-4-01;1855;4;0.62;5.225746
1855-5-01;1855;5;0.62;5.219187
1855-6-01;1855;6;0.62;5.222419
1855-7-01;1855;7;0.62;5.195605
1855-8-01;1855;8;0.62;5.133764
1855-9-01;1855;9;0.62;5.180172
1855-10-01;1855;10;0.62;5.09402
1855-11-01;1855;11;0.62;5.105516
1855-12-01;1855;12;0.62;5.307126
1856-1-01;1856;1;0.62;5.225328
1856-2-01;1856;2;0.62;5.217502
1856-3-01;1856;3;0.62;5.198192
1856-4-01;1856;4;0.62;5.181162
1856-5-01;1856;5;0.62;5.144878
1856-6-01;1856;6;0.62;5.11617
1856-7-01;1856;7;0.62;5.180081
1856-8-01;1856;8;0.62;5.211245
1856-9-01;1856;9;0.62;5.175269
1856-10-01;1856;10;0.62;5.222119
1856-11-01;1856;11;0.62;5.186998
1856-12-01;1856;12;0.62;5.14842
1857-1-01;1857;1;0.62;5.175463
1857-2-01;1857;2;0.62;5.12188
1857-3-01;1857;3;0.62;5.131755
1857-4-01;1857;4;0.62;5.071146
1857-5-01;1857;5;0.62;5.058849
1857-6-01;1857;6;0.62;5.036903
1857-7-01;1857;7;15.32;5.14827
1857-8-01;1857;8;15.32;5.134328
1857-9-01;1857;9;15.32;5.11594
1857-10-01;1857;10;15.32;5.140876
1857-11-01;1857;11;15.32;5.365626
1857-12-01;1857;12;15.32;5.403031
1858-1-01;1858;1;15.32;5.330088
1858-2-01;1858;2;15.32;5.226772
1858-3-01;1858;3;15.32;5.217404
1858-4-01;1858;4;15.32;5.220983
1858-5-01;1858;5;15.32;5.232911
1858-6-01;1858;6;15.32;5.243376
1858-7-01;1858;7;15.32;5.283628
1858-8-01;1858;8;15.32;5.255459
1858-9-01;1858;9;15.32;5.268935
1858-10-01;1858;10;15.32;5.267779
1858-11-01;1858;11;15.32;5.251641
1858-12-01;1858;12;15.32;5.260851
1859-1-01;1859;1;0.62;5.405405
1859-2-01;1859;2;0.62;5.533116
1859-3-01;1859;3;0.62;5.504587
1859-4-01;1859;4;0.62;5.499542
1859-5-01;1859;5;0.62;5.485714
1859-6-01;1859;6;0.62;5.479452
1859-7-01;1859;7;0.62;5.576208
1859-8-01;1859;8;0.62;5.587893
1859-9-01;1859;9;0.62;5.586592
1859-10-01;1859;10;0.62;5.529954
1859-11-01;1859;11;0.62;5.538479
1859-12-01;1859;12;0.62;5.504587
1860-1-01;1860;1;0.62;5.614035
1860-2-01;1860;2;0.62;5.610728
1860-3-01;1860;3;0.62;5.602241
1860-4-01;1860;4;0.62;5.571651
1860-5-01;1860;5;0.62;5.526745
1860-6-01;1860;6;0.62;5.499542
1860-7-01;1860;7;0.62;5.565192
1860-8-01;1860;8;0.62;5.514706
1860-9-01;1860;9;0.62;5.504587
1860-10-01;1860;10;0.62;5.555556
1860-11-01;1860;11;15.32;5.655042
1860-12-01;1860;12;15.32;6.122449
1861-1-01;1861;1;15.32;6.122449
1861-2-01;1861;2;15.32;6.299213
1861-3-01;1861;3;15.32;6.268348
1861-4-01;1861;4;15.32;6.634379
1861-5-01;1861;5;15.32;6.779661
1861-6-01;1861;6;15.32;7.123776
1861-7-01;1861;7;0.62;6.822989
1861-8-01;1861;8;0.62;6.889108
1861-9-01;1861;9;0.62;6.639004
1861-10-01;1861;10;0.62;6.419241
1861-11-01;1861;11;0.62;6.380874
1861-12-01;1861;12;0.62;6.543932
1862-1-01;1862;1;0.62;6.629834
1862-2-01;1862;2;0.62;6.691425
1862-3-01;1862;3;0.62;6.442953
1862-4-01;1862;4;0.62;6.405671
1862-5-01;1862;5;0.62;5.872738
1862-6-01;1862;6;0.62;5.642651
1862-7-01;1862;7;0.62;5.90162
1862-8-01;1862;8;0.62;6.010037
1862-9-01;1862;9;0.62;5.940594
1862-10-01;1862;10;0.62;5.73932
1862-11-01;1862;11;0.62;5.682733
1862-12-01;1862;12;0.62;5.771562
1863-1-01;1863;1;0.62;6.185567
1863-2-01;1863;2;0.62;6.23986
1863-3-01;1863;3;0.62;5.839416
